age,job,marital,education,housing
40,management,divorced,tertiary,yes
55,management,married,tertiary,no
50,blue-collar,married,secondary,no
31,technician,married,secondary,yes
45,management,married,primary,yes
57,blue-collar,married,primary,no
52,unemployed,married,primary,no
44,management,divorced,tertiary,no
56,self-employed,married,secondary,no
37,services,married,secondary,yes
44,services,married,secondary,yes
59,management,married,primary,no
60,retired,divorced,secondary,no
47,technician,married,tertiary,yes
53,self-employed,married,primary,no
29,housemaid,married,secondary,no
52,blue-collar,single,secondary,yes
53,technician,married,secondary,no
59,retired,married,secondary,yes
42,blue-collar,married,unknown,yes
56,retired,divorced,secondary,no
37,blue-collar,single,primary,yes
44,unemployed,married,primary,no
38,entrepreneur,married,primary,yes
44,blue-collar,married,primary,yes
31,management,married,tertiary,yes
41,management,single,unknown,no
46,technician,divorced,secondary,yes
41,services,married,unknown,no
38,technician,married,secondary,no
44,admin.,married,secondary,no
59,retired,married,secondary,no
57,housemaid,divorced,primary,no
36,management,married,tertiary,no
58,unemployed,single,secondary,yes
35,admin.,divorced,secondary,no
41,blue-collar,divorced,primary,no
52,self-employed,married,secondary,yes
53,services,married,secondary,no
51,technician,married,secondary,no
38,unemployed,single,secondary,yes
35,management,married,tertiary,no
55,management,single,secondary,yes
50,entrepreneur,married,secondary,yes
40,technician,married,secondary,no
46,self-employed,single,primary,no
29,blue-collar,single,tertiary,yes
40,technician,married,secondary,yes
50,blue-collar,divorced,primary,no
46,admin.,divorced,tertiary,no
35,blue-collar,married,primary,yes
36,admin.,single,secondary,no
53,unemployed,single,secondary,no
48,blue-collar,married,secondary,yes
50,entrepreneur,married,tertiary,no
56,retired,married,primary,yes
40,entrepreneur,married,secondary,yes
43,self-employed,divorced,primary,no
44,housemaid,married,primary,no
53,entrepreneur,married,tertiary,yes
60,retired,married,primary,no
37,blue-collar,married,primary,no
51,admin.,married,secondary,no
59,management,married,tertiary,no
60,housemaid,married,primary,no
41,unknown,married,unknown,no
32,services,married,secondary,no
54,technician,married,secondary,no
41,services,married,secondary,no
26,blue-collar,single,secondary,no
30,admin.,single,secondary,yes
47,blue-collar,married,primary,yes
42,blue-collar,married,secondary,no
33,blue-collar,married,secondary,yes
30,technician,married,tertiary,yes
34,management,single,secondary,yes
45,technician,married,secondary,yes
34,management,married,tertiary,yes
54,management,single,secondary,no
36,technician,divorced,secondary,yes
35,blue-collar,single,unknown,yes
39,services,married,secondary,yes
53,technician,married,secondary,yes
40,admin.,divorced,secondary,no
37,student,divorced,tertiary,no
42,unemployed,single,secondary,yes
25,admin.,married,secondary,yes
30,services,married,secondary,yes
32,admin.,married,secondary,yes
55,blue-collar,single,secondary,no
58,management,married,tertiary,yes
30,services,single,secondary,yes
44,management,married,secondary,no
27,housemaid,married,primary,yes
26,admin.,single,secondary,no
31,entrepreneur,married,secondary,yes
50,management,married,tertiary,no
33,admin.,married,secondary,yes
44,unknown,single,secondary,no
45,technician,married,secondary,no
60,housemaid,married,unknown,no
43,blue-collar,married,secondary,yes
55,management,married,tertiary,yes
35,unemployed,single,secondary,no
38,management,married,tertiary,yes
46,retired,married,secondary,no
59,management,married,tertiary,yes
58,retired,divorced,tertiary,yes
52,management,divorced,tertiary,no
44,blue-collar,divorced,secondary,no
55,entrepreneur,divorced,secondary,no
55,self-employed,married,primary,no
35,management,married,tertiary,yes
30,admin.,single,secondary,no
42,services,divorced,secondary,no
53,management,single,tertiary,no
49,technician,married,secondary,yes
52,management,divorced,tertiary,yes
53,blue-collar,married,secondary,yes
35,blue-collar,married,secondary,yes
54,unemployed,divorced,secondary,yes
58,management,married,tertiary,yes
60,retired,married,secondary,no
43,technician,single,secondary,no
41,services,divorced,secondary,no
53,retired,married,primary,no
37,management,single,tertiary,no
56,management,divorced,tertiary,no
57,services,divorced,secondary,no
31,technician,divorced,secondary,no
57,blue-collar,married,primary,no
44,self-employed,single,secondary,no
40,admin.,married,secondary,no
43,housemaid,married,primary,yes
51,housemaid,married,primary,yes
40,services,married,secondary,yes
59,management,single,tertiary,no
39,self-employed,single,tertiary,no
35,services,married,secondary,yes
26,blue-collar,single,secondary,yes
58,blue-collar,married,primary,yes
55,management,married,tertiary,yes
55,unemployed,married,secondary,no
53,unemployed,married,secondary,yes
42,services,married,unknown,no
44,services,married,secondary,no
40,self-employed,single,tertiary,no
59,retired,divorced,secondary,no
45,technician,divorced,secondary,no
46,unemployed,divorced,secondary,no
40,blue-collar,married,secondary,no
42,entrepreneur,married,unknown,yes
45,management,married,tertiary,no
37,admin.,married,unknown,yes
57,retired,divorced,secondary,yes
48,blue-collar,married,secondary,no
56,services,married,secondary,yes
27,management,single,tertiary,yes
46,entrepreneur,married,secondary,no
60,housemaid,married,primary,no
46,technician,married,tertiary,no
48,admin.,married,tertiary,no
36,blue-collar,married,secondary,yes
36,admin.,married,secondary,no
30,self-employed,single,tertiary,no
31,blue-collar,married,secondary,no
47,management,married,tertiary,no
59,management,married,tertiary,yes
30,admin.,single,secondary,yes
29,blue-collar,married,secondary,yes
51,services,married,secondary,no
53,management,divorced,tertiary,yes
45,management,married,tertiary,no
58,technician,married,secondary,no
56,unemployed,divorced,tertiary,yes
27,technician,single,secondary,yes
34,admin.,married,primary,yes
25,blue-collar,married,secondary,no
49,admin.,divorced,secondary,no
27,housemaid,single,secondary,no
46,management,married,tertiary,yes
36,housemaid,married,primary,yes
30,management,single,secondary,no
56,technician,divorced,unknown,yes
59,housemaid,divorced,primary,no
38,technician,single,unknown,no
43,admin.,married,secondary,no
39,management,married,tertiary,no
48,self-employed,married,tertiary,no
27,services,divorced,secondary,no
43,blue-collar,single,primary,yes
34,technician,single,tertiary,yes
44,services,married,secondary,yes
40,management,single,tertiary,yes
41,admin.,married,secondary,no
36,services,married,secondary,yes
36,services,married,secondary,yes
39,technician,married,tertiary,yes
30,management,single,tertiary,no
59,management,divorced,tertiary,no
25,admin.,single,secondary,no
51,housemaid,married,primary,no
43,admin.,married,secondary,no
53,blue-collar,married,secondary,no
33,management,divorced,secondary,no
48,housemaid,married,primary,yes
52,management,married,secondary,no
54,technician,single,secondary,no
40,management,married,tertiary,yes
59,blue-collar,married,primary,no
37,admin.,single,tertiary,no
49,blue-collar,married,secondary,no
30,management,married,tertiary,yes
39,blue-collar,married,secondary,no
35,unemployed,married,unknown,no
29,blue-collar,married,primary,yes
44,self-employed,married,unknown,yes
44,services,married,secondary,no
26,services,married,secondary,yes
26,self-employed,single,tertiary,no
33,management,married,tertiary,yes
55,retired,married,secondary,no
40,management,single,secondary,yes
29,admin.,single,secondary,yes
39,technician,single,secondary,no
35,technician,married,secondary,yes
56,unemployed,married,unknown,yes
44,blue-collar,married,secondary,no
51,services,married,secondary,yes
33,unemployed,married,secondary,no
44,services,married,secondary,no
41,blue-collar,married,primary,yes
40,services,divorced,secondary,yes
30,admin.,single,secondary,yes
34,admin.,married,secondary,yes
57,blue-collar,divorced,secondary,no
50,technician,married,tertiary,yes
43,admin.,married,secondary,no
35,management,married,tertiary,no
27,services,single,secondary,yes
30,admin.,married,secondary,yes
39,admin.,married,secondary,yes
56,management,married,tertiary,no
54,management,married,tertiary,yes
44,management,single,tertiary,yes
53,entrepreneur,married,tertiary,no
45,blue-collar,married,secondary,yes
41,services,married,unknown,yes
46,technician,married,secondary,no
59,management,divorced,tertiary,yes
56,management,married,secondary,no
45,management,divorced,secondary,yes
58,management,married,tertiary,no
38,unemployed,married,primary,no
34,management,married,tertiary,no
43,admin.,married,secondary,no
46,management,married,secondary,no
48,management,married,tertiary,yes
54,services,married,secondary,yes
59,blue-collar,married,primary,yes
59,retired,married,unknown,no
41,management,single,secondary,no
38,technician,married,secondary,no
41,technician,single,secondary,no
46,admin.,married,secondary,no
59,blue-collar,divorced,primary,yes
48,blue-collar,married,primary,yes
44,services,married,secondary,no
43,admin.,married,secondary,no
27,technician,single,secondary,no
42,self-employed,married,tertiary,yes
37,blue-collar,married,secondary,no
49,retired,divorced,secondary,no
53,retired,married,primary,no
37,admin.,single,secondary,no
35,technician,single,secondary,yes
38,admin.,married,tertiary,no
47,entrepreneur,married,secondary,no
30,management,single,tertiary,no
58,blue-collar,married,primary,yes
33,entrepreneur,married,tertiary,no
45,management,married,tertiary,no
36,self-employed,single,tertiary,no
35,technician,single,tertiary,no
28,management,single,tertiary,yes
42,admin.,married,secondary,no
46,admin.,single,secondary,no
41,management,single,tertiary,no
34,technician,single,tertiary,yes
45,blue-collar,married,primary,no
46,management,married,tertiary,no
51,blue-collar,married,primary,yes
45,admin.,married,secondary,no
23,housemaid,married,tertiary,no
47,management,married,unknown,no
48,retired,married,primary,no
35,blue-collar,divorced,primary,yes
50,unemployed,divorced,tertiary,no
37,management,married,unknown,yes
40,admin.,single,secondary,no
35,services,married,secondary,no
50,blue-collar,married,secondary,yes
53,blue-collar,married,primary,no
37,entrepreneur,married,primary,no
39,services,divorced,secondary,no
50,blue-collar,married,unknown,yes
55,technician,married,secondary,yes
56,technician,married,unknown,no
57,management,married,tertiary,no
52,blue-collar,single,secondary,no
37,technician,married,secondary,no
31,admin.,married,secondary,no
50,technician,married,secondary,no
36,management,married,tertiary,yes
37,technician,married,tertiary,yes
47,blue-collar,married,secondary,yes
42,admin.,single,tertiary,no
53,entrepreneur,married,unknown,no
46,blue-collar,married,secondary,no
41,blue-collar,married,secondary,yes
40,entrepreneur,divorced,tertiary,yes
44,technician,divorced,primary,no
37,technician,married,secondary,yes
37,blue-collar,married,primary,no
39,services,married,secondary,yes
41,technician,married,secondary,no
42,management,married,tertiary,yes
33,self-employed,married,secondary,yes
55,housemaid,divorced,unknown,no
32,entrepreneur,single,primary,no
48,blue-collar,married,secondary,yes
35,services,married,primary,no
25,blue-collar,married,secondary,yes
45,self-employed,married,secondary,no
51,entrepreneur,married,unknown,no
58,retired,married,secondary,no
37,blue-collar,married,primary,yes
27,technician,single,secondary,no
36,technician,married,tertiary,yes
35,technician,married,tertiary,yes
52,retired,divorced,primary,no
38,blue-collar,married,secondary,yes
36,blue-collar,married,secondary,no
44,management,married,tertiary,yes
48,self-employed,married,secondary,yes
44,management,single,tertiary,no
57,entrepreneur,married,unknown,no
49,unemployed,married,secondary,no
52,management,married,tertiary,no
42,management,divorced,tertiary,yes
35,housemaid,divorced,secondary,no
27,blue-collar,single,secondary,no
36,blue-collar,married,secondary,yes
32,management,single,tertiary,yes
43,self-employed,married,secondary,no
42,admin.,divorced,secondary,no
39,services,married,secondary,yes
37,blue-collar,married,secondary,no
41,management,married,unknown,no
46,self-employed,married,secondary,yes
59,retired,married,primary,no
53,management,divorced,tertiary,no
48,management,married,unknown,no
35,services,single,secondary,yes
40,blue-collar,single,secondary,no
38,admin.,married,tertiary,yes
42,technician,married,primary,no
42,technician,married,tertiary,no
51,unemployed,divorced,tertiary,no
56,entrepreneur,divorced,tertiary,no
46,technician,married,secondary,yes
57,admin.,married,secondary,no
43,housemaid,single,primary,no
49,services,divorced,unknown,yes
37,technician,single,secondary,yes
35,blue-collar,married,secondary,no
36,admin.,married,secondary,no
40,blue-collar,married,secondary,no
51,technician,married,unknown,no
38,admin.,married,secondary,yes
31,technician,single,secondary,yes
35,blue-collar,married,secondary,yes
47,admin.,married,secondary,yes
37,blue-collar,married,unknown,no
48,services,divorced,secondary,no
55,blue-collar,married,primary,no
42,blue-collar,married,primary,yes
59,blue-collar,married,primary,no
39,retired,divorced,primary,no
58,retired,divorced,primary,yes
50,blue-collar,divorced,primary,no
41,blue-collar,married,secondary,yes
41,unemployed,single,primary,no
59,admin.,married,primary,no
43,services,divorced,secondary,no
38,blue-collar,married,secondary,yes
48,entrepreneur,married,tertiary,no
32,services,married,secondary,no
58,blue-collar,divorced,unknown,yes
49,management,single,primary,no
48,management,married,secondary,no
45,blue-collar,married,secondary,no
51,technician,married,secondary,no
35,admin.,divorced,secondary,no
35,blue-collar,single,primary,yes
41,blue-collar,married,primary,no
40,technician,married,secondary,no
45,services,married,secondary,yes
48,housemaid,married,secondary,no
49,admin.,married,secondary,no
46,management,single,secondary,no
47,blue-collar,married,secondary,yes
41,services,married,secondary,no
40,management,married,unknown,yes
49,technician,married,secondary,no
43,blue-collar,married,primary,yes
31,services,married,unknown,yes
42,services,single,secondary,yes
52,technician,married,secondary,yes
38,management,married,tertiary,no
46,services,married,secondary,yes
28,blue-collar,single,secondary,no
54,management,married,tertiary,no
55,housemaid,divorced,primary,no
41,blue-collar,married,primary,no
47,management,married,tertiary,yes
58,housemaid,married,tertiary,no
43,technician,single,secondary,yes
46,services,married,secondary,yes
51,admin.,divorced,secondary,yes
46,unemployed,married,primary,yes
54,self-employed,married,secondary,yes
58,retired,married,secondary,no
30,services,married,secondary,yes
53,blue-collar,married,primary,no
53,unemployed,married,secondary,no
59,retired,married,primary,no
45,management,married,secondary,yes
41,blue-collar,married,primary,no
42,admin.,married,secondary,no
59,retired,divorced,secondary,no
51,self-employed,married,primary,yes
44,management,married,tertiary,no
56,management,married,secondary,no
57,retired,married,secondary,no
47,housemaid,married,secondary,yes
33,admin.,single,secondary,yes
36,technician,divorced,tertiary,yes
43,management,married,tertiary,no
35,blue-collar,married,unknown,no
54,blue-collar,married,primary,no
39,management,married,tertiary,no
52,technician,married,unknown,yes
46,blue-collar,divorced,unknown,yes
38,management,married,tertiary,no
46,services,single,secondary,no
45,blue-collar,married,primary,yes
47,management,married,tertiary,no
42,unemployed,single,secondary,no
45,management,single,tertiary,no
38,services,married,secondary,no
27,management,single,tertiary,no
37,blue-collar,married,secondary,yes
55,management,married,tertiary,no
51,technician,married,tertiary,yes
44,blue-collar,married,secondary,yes
38,admin.,single,secondary,no
42,management,married,tertiary,no
49,management,divorced,secondary,no
56,retired,married,secondary,no
47,management,married,tertiary,no
42,services,married,secondary,yes
50,blue-collar,married,secondary,yes
39,self-employed,married,primary,yes
41,services,married,secondary,yes
50,blue-collar,divorced,primary,yes
40,blue-collar,married,secondary,no
55,services,married,secondary,yes
32,blue-collar,single,secondary,yes
43,technician,married,secondary,yes
41,management,married,secondary,no
48,management,single,tertiary,yes
41,unemployed,married,secondary,no
33,blue-collar,single,secondary,yes
39,management,single,primary,no
42,technician,divorced,secondary,yes
39,management,single,tertiary,yes
36,admin.,married,secondary,yes
42,admin.,single,secondary,no
31,management,single,tertiary,no
45,management,married,primary,no
28,management,married,tertiary,yes
37,management,married,tertiary,no
48,management,married,tertiary,yes
57,housemaid,married,secondary,no
54,admin.,married,secondary,yes
50,services,married,secondary,no
42,blue-collar,married,primary,yes
35,technician,married,secondary,no
57,retired,married,primary,no
57,management,married,primary,no
35,blue-collar,married,primary,no
44,technician,married,primary,no
47,management,married,secondary,no
51,self-employed,married,tertiary,yes
56,unknown,married,unknown,no
35,management,single,secondary,yes
54,management,married,tertiary,no
35,management,married,tertiary,yes
46,blue-collar,married,primary,yes
37,services,married,secondary,yes
53,management,married,tertiary,no
46,entrepreneur,married,unknown,no
33,entrepreneur,single,tertiary,no
36,management,married,tertiary,yes
32,blue-collar,married,secondary,yes
40,management,married,tertiary,yes
58,management,married,secondary,no
38,blue-collar,single,secondary,yes
58,technician,married,tertiary,no
42,blue-collar,married,primary,yes
56,technician,divorced,tertiary,yes
36,technician,married,secondary,no
49,entrepreneur,divorced,primary,no
46,management,married,tertiary,yes
44,entrepreneur,divorced,secondary,no
40,housemaid,single,tertiary,no
32,admin.,married,secondary,yes
46,services,married,secondary,no
35,blue-collar,divorced,primary,yes
59,housemaid,divorced,primary,no
46,management,married,tertiary,yes
42,technician,single,secondary,no
59,retired,married,primary,yes
32,services,single,secondary,yes
41,blue-collar,divorced,secondary,yes
53,blue-collar,married,secondary,no
31,blue-collar,married,secondary,yes
36,management,married,tertiary,no
34,services,married,secondary,yes
40,unemployed,married,secondary,yes
41,services,married,secondary,yes
35,management,married,tertiary,no
54,services,married,secondary,yes
40,services,married,secondary,yes
55,blue-collar,single,secondary,no
52,services,married,primary,yes
39,blue-collar,married,primary,yes
42,self-employed,married,secondary,no
43,management,divorced,tertiary,yes
51,entrepreneur,divorced,secondary,yes
49,services,married,secondary,yes
41,technician,married,secondary,no
52,blue-collar,married,primary,yes
58,retired,married,secondary,no
49,technician,married,secondary,no
44,admin.,married,secondary,no
36,blue-collar,married,secondary,yes
54,unemployed,married,secondary,no
40,technician,married,tertiary,yes
41,management,married,tertiary,yes
58,unemployed,married,secondary,no
36,management,single,tertiary,no
36,management,married,tertiary,no
56,retired,married,secondary,no
50,management,single,tertiary,yes
55,services,divorced,secondary,yes
41,services,divorced,primary,no
39,blue-collar,married,secondary,yes
44,admin.,single,unknown,yes
47,management,single,tertiary,no
56,blue-collar,married,secondary,no
52,technician,married,secondary,no
44,blue-collar,married,unknown,no
39,blue-collar,married,secondary,no
44,admin.,married,secondary,no
59,admin.,married,primary,no
52,housemaid,married,tertiary,no
38,technician,married,secondary,yes
44,unknown,married,unknown,no
49,management,divorced,tertiary,yes
49,management,married,tertiary,no
42,blue-collar,married,primary,yes
55,technician,married,tertiary,no
37,entrepreneur,single,tertiary,no
44,technician,married,secondary,no
32,management,married,tertiary,yes
31,technician,married,tertiary,yes
58,management,married,tertiary,no
27,admin.,single,secondary,yes
41,admin.,divorced,tertiary,yes
36,blue-collar,divorced,secondary,yes
29,technician,married,tertiary,yes
43,admin.,married,secondary,no
53,management,divorced,secondary,yes
57,management,married,tertiary,yes
40,blue-collar,married,secondary,yes
37,self-employed,single,tertiary,no
25,management,married,tertiary,yes
38,blue-collar,married,primary,yes
44,admin.,married,secondary,no
40,services,married,unknown,no
34,management,married,tertiary,yes
45,blue-collar,married,unknown,yes
32,self-employed,divorced,tertiary,yes
50,blue-collar,married,primary,no
39,entrepreneur,married,tertiary,no
37,management,married,tertiary,yes
42,blue-collar,married,secondary,yes
35,technician,divorced,unknown,yes
47,entrepreneur,married,unknown,yes
49,management,divorced,tertiary,no
53,retired,married,tertiary,yes
45,blue-collar,single,primary,no
34,services,married,unknown,yes
40,management,single,tertiary,no
32,blue-collar,married,secondary,yes
33,admin.,married,secondary,no
30,blue-collar,single,unknown,yes
51,self-employed,married,tertiary,no
52,blue-collar,married,primary,yes
27,management,single,tertiary,yes
45,management,married,tertiary,yes
25,services,married,secondary,yes
26,unemployed,single,secondary,no
28,blue-collar,single,secondary,no
32,blue-collar,married,primary,yes
53,services,married,secondary,yes
47,management,married,tertiary,no
46,management,married,unknown,yes
49,unemployed,married,primary,yes
38,services,married,secondary,yes
40,admin.,married,secondary,no
49,technician,divorced,secondary,yes
44,blue-collar,divorced,secondary,no
56,technician,married,tertiary,no
37,self-employed,married,tertiary,yes
46,management,married,tertiary,no
34,management,married,tertiary,yes
41,blue-collar,married,primary,no
27,services,single,secondary,yes
36,technician,single,secondary,yes
36,technician,single,secondary,no
37,admin.,married,secondary,no
42,services,married,secondary,yes
52,services,divorced,secondary,no
33,blue-collar,married,secondary,yes
35,blue-collar,married,secondary,yes
53,management,divorced,tertiary,yes
39,management,single,tertiary,yes
40,entrepreneur,married,secondary,no
32,technician,single,tertiary,yes
54,services,married,primary,yes
36,management,single,tertiary,no
41,blue-collar,married,secondary,yes
50,management,divorced,tertiary,yes
30,services,single,secondary,no
49,management,married,tertiary,no
42,technician,married,secondary,yes
51,management,married,tertiary,no
37,self-employed,married,primary,no
25,admin.,single,secondary,no
31,services,single,unknown,yes
42,management,single,tertiary,yes
41,management,married,tertiary,no
47,management,divorced,tertiary,yes
49,blue-collar,married,secondary,no
46,blue-collar,married,secondary,no
33,blue-collar,married,unknown,yes
33,technician,single,secondary,no
34,management,single,tertiary,no
45,technician,divorced,secondary,yes
37,admin.,married,secondary,yes
45,admin.,married,secondary,no
58,blue-collar,married,unknown,no
35,management,single,tertiary,no
35,technician,married,secondary,no
30,self-employed,single,tertiary,yes
44,blue-collar,married,primary,no
31,technician,single,secondary,yes
40,blue-collar,married,primary,yes
42,self-employed,divorced,tertiary,no
42,self-employed,married,secondary,no
33,services,married,secondary,yes
39,technician,single,secondary,yes
35,management,married,tertiary,yes
28,admin.,single,secondary,yes
39,blue-collar,single,primary,no
48,technician,married,secondary,no
37,self-employed,married,secondary,yes
44,housemaid,married,primary,no
35,services,married,secondary,yes
45,technician,single,unknown,yes
37,unemployed,single,secondary,no
59,technician,married,unknown,no
29,self-employed,married,tertiary,yes
36,blue-collar,married,primary,yes
41,blue-collar,married,secondary,no
54,self-employed,married,tertiary,no
35,blue-collar,married,secondary,yes
46,technician,married,secondary,yes
61,retired,divorced,secondary,no
58,blue-collar,divorced,primary,yes
34,blue-collar,married,secondary,yes
37,blue-collar,married,secondary,yes
31,management,divorced,tertiary,yes
28,blue-collar,single,primary,yes
35,management,single,secondary,yes
38,admin.,single,secondary,yes
54,services,married,secondary,no
30,technician,married,tertiary,no
59,retired,married,tertiary,yes
50,blue-collar,divorced,secondary,no
59,admin.,married,secondary,no
42,admin.,married,primary,no
57,technician,divorced,tertiary,yes
44,admin.,married,secondary,yes
32,services,married,primary,yes
43,blue-collar,divorced,primary,yes
35,unemployed,single,secondary,no
57,blue-collar,married,primary,yes
38,management,single,tertiary,yes
48,admin.,married,primary,yes
41,services,married,secondary,yes
53,blue-collar,married,primary,yes
43,management,single,primary,yes
37,technician,married,tertiary,yes
35,blue-collar,single,unknown,no
42,management,married,secondary,yes
43,services,married,secondary,no
49,blue-collar,married,primary,yes
31,services,single,secondary,no
35,services,married,secondary,no
60,retired,divorced,secondary,no
54,retired,married,primary,no
42,management,single,secondary,yes
51,services,married,secondary,yes
43,admin.,married,secondary,no
56,technician,married,tertiary,no
47,blue-collar,married,secondary,no
47,blue-collar,married,secondary,no
37,admin.,married,secondary,no
33,blue-collar,married,primary,yes
35,services,married,secondary,no
39,housemaid,married,secondary,yes
54,management,married,tertiary,yes
43,entrepreneur,married,tertiary,no
45,admin.,single,primary,no
33,blue-collar,married,secondary,yes
41,blue-collar,married,unknown,no
31,technician,married,tertiary,no
46,management,divorced,tertiary,yes
42,technician,married,secondary,yes
44,services,divorced,secondary,yes
54,management,married,unknown,no
49,management,married,tertiary,yes
50,blue-collar,married,secondary,yes
40,admin.,married,secondary,no
36,management,married,tertiary,yes
50,entrepreneur,married,tertiary,no
60,retired,married,secondary,no
28,unemployed,married,primary,yes
35,unemployed,single,tertiary,no
32,technician,single,secondary,yes
41,technician,married,secondary,no
42,admin.,married,secondary,yes
58,unemployed,married,primary,no
49,blue-collar,married,secondary,no
26,blue-collar,single,primary,no
56,admin.,married,secondary,no
53,retired,married,primary,no
56,blue-collar,married,primary,no
50,self-employed,married,secondary,no
26,admin.,single,secondary,no
35,technician,married,secondary,no
36,blue-collar,married,secondary,no
41,unemployed,divorced,secondary,no
33,management,single,tertiary,yes
48,blue-collar,married,secondary,no
36,blue-collar,married,secondary,no
58,blue-collar,married,secondary,no
49,services,married,secondary,yes
37,blue-collar,married,secondary,yes
38,management,married,tertiary,yes
56,management,married,tertiary,no
29,management,married,tertiary,yes
46,blue-collar,single,primary,no
36,blue-collar,married,unknown,yes
44,admin.,single,secondary,no
42,student,married,unknown,no
44,admin.,divorced,secondary,no
49,technician,married,secondary,no
34,student,single,secondary,yes
26,blue-collar,single,secondary,yes
28,unemployed,married,secondary,yes
54,housemaid,married,secondary,no
48,unemployed,married,secondary,no
49,services,married,secondary,no
47,admin.,married,secondary,yes
50,admin.,married,secondary,yes
48,unemployed,married,secondary,yes
38,admin.,married,secondary,yes
57,retired,single,unknown,no
28,blue-collar,married,secondary,yes
37,services,married,secondary,yes
26,admin.,single,tertiary,no
39,admin.,divorced,secondary,no
50,unemployed,married,secondary,yes
50,unemployed,single,secondary,no
58,admin.,married,secondary,no
51,technician,divorced,secondary,no
56,services,married,tertiary,no
47,management,married,tertiary,no
32,management,married,tertiary,no
36,management,married,tertiary,yes
53,technician,divorced,secondary,no
45,management,married,secondary,no
41,management,married,tertiary,no
41,management,married,tertiary,no
30,self-employed,single,tertiary,no
35,housemaid,married,tertiary,no
52,management,married,tertiary,no
36,management,married,tertiary,no
40,management,married,tertiary,no
38,technician,married,secondary,yes
37,management,married,tertiary,no
49,technician,married,secondary,no
45,technician,married,secondary,no
53,admin.,married,secondary,no
31,technician,married,secondary,no
50,unknown,married,unknown,no
45,management,divorced,secondary,no
42,technician,married,secondary,no
51,management,married,tertiary,no
38,technician,married,secondary,no
52,unknown,married,unknown,no
57,admin.,married,primary,no
50,technician,divorced,secondary,no
60,retired,married,secondary,no
35,technician,single,tertiary,no
46,management,married,secondary,no
48,technician,divorced,tertiary,no
52,blue-collar,married,unknown,no
43,management,divorced,tertiary,no
42,technician,married,tertiary,no
48,admin.,married,secondary,no
50,management,married,tertiary,no
55,self-employed,married,secondary,no
57,management,married,secondary,yes
36,technician,married,secondary,yes
31,technician,single,tertiary,no
52,blue-collar,married,secondary,no
42,management,married,tertiary,no
45,blue-collar,married,unknown,no
56,blue-collar,married,primary,no
31,technician,single,secondary,no
35,technician,divorced,secondary,no
46,blue-collar,married,primary,yes
53,management,married,tertiary,no
49,technician,married,secondary,no
45,blue-collar,married,primary,no
40,management,married,tertiary,no
49,blue-collar,married,secondary,no
46,blue-collar,married,primary,no
49,services,married,secondary,no
57,housemaid,married,tertiary,no
37,management,married,tertiary,no
49,management,divorced,tertiary,no
30,technician,single,tertiary,no
34,unknown,married,unknown,no
51,housemaid,divorced,tertiary,no
55,management,married,tertiary,no
51,blue-collar,married,primary,no
55,self-employed,married,secondary,no
52,management,married,tertiary,no
30,management,single,tertiary,no
46,unknown,married,unknown,no
45,self-employed,married,secondary,no
58,retired,married,unknown,no
49,blue-collar,married,primary,no
36,management,divorced,tertiary,no
35,management,single,tertiary,no
30,management,single,tertiary,yes
48,unemployed,married,secondary,no
41,management,divorced,tertiary,no
33,technician,single,secondary,no
60,technician,married,secondary,no
55,technician,married,secondary,no
38,management,married,tertiary,yes
57,blue-collar,married,secondary,no
57,admin.,married,secondary,no
47,services,married,primary,yes
45,unemployed,married,primary,no
50,services,married,secondary,no
46,blue-collar,married,primary,no
37,housemaid,married,primary,no
46,retired,divorced,tertiary,no
50,unemployed,divorced,secondary,no
47,management,married,tertiary,no
51,blue-collar,married,secondary,no
58,retired,married,primary,no
51,housemaid,married,unknown,no
53,technician,single,secondary,no
46,technician,married,secondary,no
39,management,married,secondary,yes
55,retired,married,secondary,no
44,unemployed,single,tertiary,no
47,blue-collar,married,primary,yes
58,technician,married,secondary,no
51,management,married,tertiary,no
52,management,married,secondary,no
56,retired,married,secondary,no
54,technician,married,secondary,no
43,technician,married,tertiary,no
47,technician,married,secondary,no
37,technician,single,secondary,no
50,technician,married,tertiary,no
60,blue-collar,married,primary,no
53,admin.,married,tertiary,no
60,unknown,married,unknown,no
37,management,married,tertiary,no
52,blue-collar,married,primary,no
47,unemployed,married,secondary,no
54,blue-collar,married,secondary,no
47,blue-collar,married,secondary,no
41,management,single,tertiary,no
46,technician,married,tertiary,no
50,admin.,married,secondary,no
49,admin.,married,secondary,no
47,unknown,married,unknown,no
45,unknown,married,unknown,no
41,management,married,tertiary,no
45,self-employed,married,secondary,no
41,management,single,tertiary,no
46,admin.,married,secondary,no
50,management,married,tertiary,no
32,technician,married,secondary,yes
46,blue-collar,married,secondary,no
52,management,married,tertiary,no
47,blue-collar,married,secondary,no
45,management,married,secondary,yes
54,management,married,tertiary,no
52,management,married,tertiary,no
49,services,married,secondary,no
40,technician,married,secondary,yes
31,management,married,tertiary,yes
47,technician,single,secondary,no
46,blue-collar,married,primary,no
38,services,married,tertiary,no
56,blue-collar,married,secondary,no
36,management,married,tertiary,no
53,management,married,tertiary,no
55,technician,married,secondary,no
44,technician,married,secondary,yes
59,blue-collar,married,primary,yes
54,services,married,secondary,no
43,management,married,tertiary,yes
58,admin.,married,secondary,no
39,technician,married,secondary,no
45,services,married,primary,yes
60,entrepreneur,married,unknown,yes
